product_id,product_name,issuer_type,asset_class,strategy_type,channel,risk_level,product_type,liquidity_type,duration_days,benchmark,fee_rate,min_holding_amount,bond_weight,equity_weight,cash_weight,alternative_weight,credit_rating_focus,duration_bucket,open_date,status
SP0001,现金管理现金管理样例001,券商资管,现金管理,现金管理,私行渠道,R1,开放式净值型,每周开放,233,7日年化现金管理样例基准,0.0029,50000,0.1112,0.0,0.8888,0.0,利率债为主,6-12M,2023-06-30,存续
SP0002,纯债固收利率债样例002,信托资管,纯债固收,利率债,机构渠道,R3,封闭净值型,每月开放,1322,中债综合财富样例基准,0.0197,100000,0.8221,0.0107,0.1276,0.0396,中高等级信用债,3Y+,2024-01-12,募集期
SP0003,固收+债券增强样例003,券商资管,固收+,债券增强,券商渠道,R3,开放式净值型,每周开放,151,固收增强复合样例基准,0.0078,300000,0.7405,0.1203,0.1005,0.0386,可转债/信用混合,3-6M,2023-02-10,观察期
SP0004,多资产风险平价样例004,保险资管,多资产,风险平价,券商渠道,R4,定开净值型,每季开放,358,股债商多资产样例基准,0.0185,50000,0.4206,0.2727,0.1321,0.1746,高等级信用债,6-12M,2023-05-12,存续
SP0005,权益增强指数增强样例005,公募基金,权益增强,指数增强,银行渠道,R5,封闭净值型,每季开放,78,宽基权益增强样例基准,0.0125,1000000,0.1125,0.8172,0.0062,0.0641,利率债为主,0-3M,2023-01-20,募集期
SP0006,量化对冲CTA样例006,保险资管,量化对冲,CTA,机构渠道,R3,封闭净值型,每日开放,32,市场中性策略样例基准,0.0019,50000,0.3368,0.3393,0.1227,0.2012,利率债为主,0-3M,2023-02-03,观察期
SP0007,商品/黄金黄金ETF联接样例007,信托资管,商品/黄金,黄金ETF联接,银行渠道,R4,封闭净值型,每季开放,276,黄金商品篮子样例基准,0.0089,100000,0.1605,0.13,0.07,0.6394,中高等级信用债,6-12M,2023-02-03,存续
SP0008,QDII/全球配置全球权益样例008,银行理财子,QDII/全球配置,全球权益,机构渠道,R4,定开净值型,每周开放,1061,全球配置样例基准,0.0217,50000,0.2301,0.3841,0.0922,0.2936,高等级信用债,1-3Y,2023-01-06,观察期
SP0009,养老目标/FOFFOF稳健样例009,银行理财子,养老目标/FOF,FOF稳健,线上渠道,R3,开放式净值型,持有期,262,养老FOF复合样例基准,0.0084,1000000,0.5408,0.2501,0.0738,0.1354,中高等级信用债,6-12M,2023-01-06,募集期
SP0010,现金管理流动性管理样例010,保险资管,现金管理,流动性管理,券商渠道,R1,定开净值型,每季开放,1548,7日年化现金管理样例基准,0.0063,1000000,0.1228,0.0,0.8772,0.0,可转债/信用混合,3Y+,2023-02-03,募集期
SP0011,纯债固收信用债样例011,银行理财子,纯债固收,信用债,线上渠道,R3,定开净值型,每月开放,1526,中债综合财富样例基准,0.0117,1000000,0.8494,0.0,0.1412,0.0094,非信用主导,3Y+,2023-05-12,存续
SP0012,固收+股债平衡样例012,券商资管,固收+,股债平衡,券商渠道,R2,定开净值型,每周开放,167,固收增强复合样例基准,0.0114,1000000,0.7026,0.1407,0.0923,0.0644,可转债/信用混合,3-6M,2023-09-22,存续
SP0013,多资产风险平价样例013,券商资管,多资产,风险平价,券商渠道,R4,开放式净值型,每周开放,844,股债商多资产样例基准,0.0117,1,0.4628,0.2802,0.1054,0.1516,可转债/信用混合,1-3Y,2024-01-05,存续
SP0014,权益增强指数增强样例014,公募基金,权益增强,指数增强,线上渠道,R4,封闭净值型,每季开放,60,宽基权益增强样例基准,0.0195,1000,0.0683,0.763,0.0722,0.0965,高等级信用债,0-3M,2023-10-20,募集期
SP0015,量化对冲市场中性样例015,保险资管,量化对冲,市场中性,银行渠道,R4,定开净值型,每周开放,1311,市场中性策略样例基准,0.0029,300000,0.3278,0.3333,0.1306,0.2083,中高等级信用债,3Y+,2024-03-08,存续
SP0016,商品/黄金贵金属配置样例016,银行理财子,商品/黄金,贵金属配置,线上渠道,R4,定开净值型,每日开放,135,黄金商品篮子样例基准,0.0101,1,0.1766,0.1113,0.0757,0.6364,可转债/信用混合,3-6M,2023-08-04,观察期
SP0017,QDII/全球配置全球多资产样例017,券商资管,QDII/全球配置,全球多资产,券商渠道,R4,定开净值型,每月开放,69,全球配置样例基准,0.019,1000000,0.2196,0.423,0.084,0.2734,中高等级信用债,0-3M,2023-01-13,观察期
SP0018,养老目标/FOF目标风险样例018,银行理财子,养老目标/FOF,目标风险,机构渠道,R2,封闭净值型,每季开放,211,养老FOF复合样例基准,0.0151,100000,0.4942,0.2405,0.1,0.1654,可转债/信用混合,6-12M,2023-10-20,存续
SP0019,现金管理流动性管理样例019,公募基金,现金管理,流动性管理,线上渠道,R1,封闭净值型,每季开放,1517,7日年化现金管理样例基准,0.017,100000,0.0907,0.0175,0.889,0.0028,高等级信用债,3Y+,2023-03-10,存续
SP0020,纯债固收利率债样例020,信托资管,纯债固收,利率债,券商渠道,R3,定开净值型,每周开放,150,中债综合财富样例基准,0.0198,300000,0.8655,0.0,0.1189,0.0156,非信用主导,3-6M,2023-11-24,观察期
SP0021,固收+债券增强样例021,银行理财子,固收+,债券增强,私行渠道,R4,封闭净值型,每季开放,1209,固收增强复合样例基准,0.0154,1000,0.7571,0.1296,0.072,0.0414,利率债为主,3Y+,2023-06-09,募集期
SP0022,多资产股债商多资产样例022,信托资管,多资产,股债商多资产,私行渠道,R3,开放式净值型,每日开放,1584,股债商多资产样例基准,0.0117,1000,0.4549,0.2787,0.1367,0.1297,高等级信用债,3Y+,2023-12-29,募集期
SP0023,权益增强红利增强样例023,银行理财子,权益增强,红利增强,机构渠道,R4,封闭净值型,每季开放,990,宽基权益增强样例基准,0.0021,10000,0.0878,0.7992,0.0574,0.0557,中高等级信用债,1-3Y,2024-03-29,募集期
SP0024,量化对冲多策略对冲样例024,银行理财子,量化对冲,多策略对冲,券商渠道,R4,封闭净值型,每月开放,1179,市场中性策略样例基准,0.0015,300000,0.3403,0.3414,0.1221,0.1962,中高等级信用债,3Y+,2024-05-03,存续
