report_date,product_code,product_name,product_series,product_type,channel,risk_level,open_type,holding_period_days,inception_date,running_days,product_scale_bn,scale_wow_bn,scale_mom_bn,latest_nav,daily_nav_change_bp,since_inception_annual_return,return_1m,return_3m,return_6m,return_1y,return_ytd,max_drawdown,volatility,sharpe,benchmark_lower,benchmark_upper,benchmark_status,evidence_id,source_type,source_name,source_url_or_file,fetched_at,as_of_date,staleness_days,confidence_level,parser_version
2025-04-11,WP0001,现金优选纯固收样例001,多元配置,纯固收,个金,R2,日开,1,2024-02-16T00:00:00,413,7.6632,0.1105,-0.0058,1.021646,-4.32,0.025043,7.1e-05,-0.000741,0.002588,0.019757,-0.001164,-0.018389,0.016648,0.302898,0.0236,0.0384,in_range,ev_live_snapshot_WP0001_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0002,封闭精选固收增强样例002,多元配置,固收增强,私银,R2,7天,7,2022-05-27T00:00:00,1043,4.3712,-0.1681,0.2054,1.10453,0.35,0.139717,3.4e-05,0.028194,0.012634,0.136206,0.010557,-0.015946,0.050464,2.372326,0.0357,0.0483,above_upper,ev_live_snapshot_WP0002_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0003,持有期增强多资产样例003,持有期增强,多资产,对公,R4,14天,14,2023-01-27T00:00:00,798,17.4521,-0.0241,0.1769,1.062654,-13.14,0.102232,-0.010622,0.029358,0.017388,0.103163,0.022836,-0.03455,0.090207,0.91159,0.0392,0.0648,above_upper,ev_live_snapshot_WP0003_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0004,悦享固收混合类样例004,现金优选,混合类,直销,R3,21天,21,2023-05-12T00:00:00,693,17.184,-0.0258,-0.006,1.039382,-1.99,0.065912,-0.028881,-0.009609,0.000523,0.065763,-0.061911,-0.070518,0.110661,0.414892,0.0432,0.0668,in_range,ev_live_snapshot_WP0004_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0005,全球配置QDII样例005,现金优选,QDII,百信,R5,30天,30,2022-06-03T00:00:00,1036,16.0866,-0.1498,-0.07,1.119486,-7.63,0.06236,0.012782,0.051055,0.1021,0.059722,0.022454,-0.1062,0.118319,0.358019,0.0437,0.0723,in_range,ev_live_snapshot_WP0005_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0006,稳健添利现金管理样例006,封闭精选,现金管理,交行,R1,60天,60,2022-01-21T00:00:00,1169,33.4928,0.0366,-0.0698,1.024423,9.19,0.016178,0.000163,-0.000172,0.007164,0.014847,0.000619,-0.002157,0.004696,-0.813929,0.0046,0.0314,in_range,ev_live_snapshot_WP0006_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0007,封闭精选封闭式样例007,悦享固收,封闭式,厦门银行,R4,90天,90,2022-11-25T00:00:00,861,22.1237,-0.2043,-0.1366,0.964115,-3.84,0.001032,0.002673,0.005985,-0.000601,0.003565,0.01072,-0.040714,0.070905,-0.267508,0.0253,0.0547,below_lower,ev_live_snapshot_WP0007_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0008,全球配置最短持有期型样例008,全球配置,最短持有期型,邮惠万家,R2,120天,120,2022-10-07T00:00:00,910,11.3532,-0.1411,0.2368,1.01682,-0.12,0.010493,-0.000388,-0.000856,-0.000134,0.009236,0.004027,-0.015145,0.028108,-0.338221,0.0181,0.0539,below_lower,ev_live_snapshot_WP0008_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0009,封闭精选日开型样例009,持有期增强,日开型,个金,R2,180天,180,2022-06-03T00:00:00,1036,16.3602,0.1583,-0.1198,1.021681,14.29,0.011976,0.004079,0.012546,0.003659,0.011416,0.003248,-0.010612,0.006903,-1.162289,0.0109,0.0331,in_range,ev_live_snapshot_WP0009_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
2025-04-11,WP0010,稳健添利纯固收样例010,悦享固收,纯固收,私银,R2,270天,270,2023-12-15T00:00:00,476,26.2923,0.2791,0.3739,1.061477,12.91,0.054905,0.006294,0.01381,0.014988,0.055611,0.001193,-0.010304,0.017175,2.032332,0.0175,0.0445,above_upper,ev_live_snapshot_WP0010_20250411,synthetic_weekly_snapshot,Synthetic next-week product snapshot,scripts/generate_next_week_snapshot.py,2026-05-24T21:52:57+00:00,2025-04-11,408,medium,next_week_generator.v1
