product_id,event_date,event_type,severity,event_summary,evidence_id
SP0001,2024-08-16,估值波动,2,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0001_01
SP0002,2024-04-19,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0002_01
SP0002,2024-10-04,信用利差走阔,2,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0002_02
SP0002,2024-10-04,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0002_03
SP0003,2024-09-06,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0003_01
SP0004,2024-06-21,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0004_01
SP0004,2024-06-21,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0004_02
SP0004,2024-10-18,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0004_03
SP0005,2024-08-02,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_01
SP0005,2024-04-12,监管/合规提示,4,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_02
SP0005,2024-08-09,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_03
SP0005,2024-11-22,监管/合规提示,5,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_04
SP0006,2024-08-09,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0006_01
SP0006,2024-03-29,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0006_02
SP0006,2024-05-17,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0006_03
SP0007,2024-08-23,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0007_01
SP0008,2024-06-21,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0008_01
SP0008,2024-09-13,汇率波动,4,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0008_02
SP0008,2024-08-30,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0008_03
SP0009,2024-07-26,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0009_01
SP0009,2024-04-19,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0009_02
SP0010,2024-12-06,流动性风险,1,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0010_01
SP0011,2024-08-23,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0011_01
SP0011,2024-07-12,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0011_02
SP0013,2024-10-11,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0013_01
SP0013,2024-11-01,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0013_02
SP0014,2024-05-24,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0014_01
SP0014,2024-11-15,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0014_02
SP0015,2024-10-04,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0015_01
SP0015,2024-12-13,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0015_02
